payment_id,candidate_id,label,scenario,sameCustomer,amountRatio,amountDifferencePaise,hasReference,referenceMatch,referenceSimilarity,paymentMethodCommon,outstandingRatio,paymentIsPartial,paymentIsExact,paymentIsExcess,candidateIsOpen,candidateIsPartiallyRecovered,numCandidates,obligationAgeHours,withinRecoveryWindow,daysSinceCreation
P-000000,O-000477,1,exact_partial,1,0.7871464475206447,26678,1,1,1.0,1,1.0,1,0,0,1,0,6.0,53.31988570318947,1,2.221661904299561
P-000000,O-000478,0,exact_partial,1,0.5800111702284018,71438,1,0,0.6,1,1.0,1,0,0,1,0,6.0,288.96860181214373,0,12.040358408839323
P-000000,O-000479,0,exact_partial,1,0.22903859368905893,332087,1,0,0.9,1,1.0,1,0,0,1,0,6.0,180.5060959897262,0,7.521087332905258
P-000000,O-000480,0,exact_partial,1,0.2985119335786212,231839,1,0,0.8,1,1.0,1,0,0,1,0,6.0,316.9530080299849,0,13.206375334582704
P-000000,O-000481,0,exact_partial,1,0.3035646702256958,226338,1,0,0.8,1,1.0,1,0,0,1,0,6.0,60.511608752653046,0,2.5213170313605437
P-000000,O-000482,0,exact_partial,1,0.37560724891494707,164003,1,0,0.8,1,1.0,1,0,0,1,0,6.0,99.7475519477365,1,4.156147997822354
P-000001,O-000539,0,corrupted_ref,1,1.1572440114498066,62624,1,0,0.7,0,1.0,0,0,1,1,0,3.0,-383.20901509099195,1,-15.967042295457999
P-000001,O-000540,0,corrupted_ref,1,2.2758355060440865,258372,1,0,0.8,0,1.0,0,0,1,1,0,3.0,-423.91239732443836,1,-17.66301655518493
P-000001,O-000541,1,corrupted_ref,1,1.0,0,1,0,0.9,0,1.0,0,1,0,1,0,3.0,32.0846487627627,1,1.3368603651151123
P-000002,O-000160,1,similar_amounts,1,1.0,0,1,1,0.0,1,1.0,0,1,0,1,0,5.0,1.290555926689791,1,0.053773163612074626
P-000002,O-000156,0,similar_amounts,1,0.3056385996500824,163511,1,0,0.0,1,1.0,1,0,0,1,0,5.0,-52.52201822822582,1,-2.1884174261760756
P-000002,O-000157,0,similar_amounts,1,0.5652344639645653,55360,1,0,0.0,1,1.0,1,0,0,1,0,5.0,-296.68140089906467,1,-12.361725037461028
P-000002,O-000158,0,similar_amounts,1,0.15271748125326237,399309,1,0,0.0,1,1.0,1,0,0,1,0,5.0,-439.94192049473656,1,-18.330913353947356
P-000002,O-000159,0,similar_amounts,1,0.7591127705353753,22839,1,0,0.0,1,1.0,1,0,0,1,0,5.0,-293.1177384460997,1,-12.21323910192082
P-000003,O-000593,1,multi_obligation,1,2.1820769615390327,477552,0,0,0.0,1,1.0,0,0,1,1,0,6.0,259.29471609837356,0,10.803946504098898
P-000003,O-000594,0,multi_obligation,1,2.174997347702617,476237,0,0,0.0,1,1.0,0,0,1,1,0,6.0,13.541276413762262,1,0.5642198505734276
P-000003,O-000595,0,multi_obligation,1,1.8854017845685296,413982,0,0,0.0,1,1.0,0,0,1,1,0,6.0,-179.66839060066434,1,-7.486182941694348
P-000003,O-000596,1,multi_obligation,1,5.0,712053,0,0,0.0,1,1.0,0,0,1,1,0,6.0,185.97938551019337,0,7.749141062924724
P-000003,O-000597,1,multi_obligation,1,2.8616141713113397,573487,0,0,0.0,1,1.0,0,0,1,1,0,6.0,218.36852667821773,0,9.098688611592406
P-000003,O-000598,0,multi_obligation,1,1.9009365100928748,417803,0,0,0.0,1,1.0,0,0,1,1,0,6.0,84.89545354585238,1,3.537310564410516
P-000004,O-001125,0,multi_obligation,1,4.051392201980114,578190,0,0,0.0,1,1.0,0,0,1,1,0,7.0,-299.6635193098675,1,-12.48597997124448
P-000004,O-001126,0,multi_obligation,1,1.8016329538440596,341575,0,0,0.0,1,1.0,0,0,1,1,0,7.0,-113.95644676781158,1,-4.748185281992149
P-000004,O-001127,0,multi_obligation,1,2.5988137876869537,472280,0,0,0.0,1,1.0,0,0,1,1,0,7.0,-9.317729923722098,1,-0.3882387468217541
P-000004,O-001128,0,multi_obligation,1,2.970725157016094,509261,0,0,0.0,1,1.0,0,0,1,1,0,7.0,-232.36839092565674,1,-9.68201628856903
P-000004,O-001129,0,multi_obligation,1,2.1477063219178656,410235,0,0,0.0,1,1.0,0,0,1,1,0,7.0,6.598889519692015,1,0.27495372998716733
P-000004,O-001130,0,multi_obligation,1,1.7360099139315162,325468,0,0,0.0,1,1.0,0,0,1,1,0,7.0,-114.58695940944342,1,-4.774456642060143
P-000004,O-001131,0,multi_obligation,1,2.3085579218967083,435140,0,0,0.0,1,1.0,0,0,1,1,0,7.0,-143.12552145135282,1,-5.963563393806368
P-000005,O-000770,1,duplicate,1,1.0,0,1,1,1.0,0,1.0,0,1,0,1,0,5.0,7.763658373506701,1,0.3234857655627792
P-000005,O-000766,0,duplicate,1,0.31642071844317715,116270,1,0,0.8,0,1.0,1,0,0,1,0,5.0,492.1386963530301,0,20.50577901470959
